"Date","Price","Open","High","Low","Vol.","Change %"
"01/28/2026","2.63","2.67","2.69","2.62","5.35M","-1.87%"
"01/27/2026","2.68","2.69","2.70","2.67","1.59M","0.00%"
"01/26/2026","2.68","2.70","2.71","2.67","4.76M","-0.74%"
"01/25/2026","2.70","2.73","2.76","2.70","6.69M","-0.74%"
"01/22/2026","2.72","2.70","2.74","2.69","3.46M","1.12%"
"01/21/2026","2.69","2.76","2.76","2.69","4.42M","-2.54%"
"01/20/2026","2.76","2.77","2.79","2.74","5.44M","0.00%"
"01/19/2026","2.76","2.69","2.76","2.68","5.65M","2.99%"
"01/18/2026","2.68","2.65","2.68","2.63","2.40M","2.29%"
"01/15/2026","2.62","2.62","2.69","2.61","4.33M","0.38%"
"01/14/2026","2.61","2.67","2.67","2.60","7.52M","-1.88%"
"01/13/2026","2.66","2.69","2.70","2.64","4.02M","-1.12%"
"01/12/2026","2.69","2.71","2.74","2.69","5.49M","-0.74%"
"01/11/2026","2.71","2.73","2.76","2.71","3.08M","0.74%"
"01/08/2026","2.69","2.69","2.73","2.67","4.68M","0.37%"
"01/06/2026","2.68","2.70","2.71","2.66","4.40M","0.00%"
"01/05/2026","2.68","2.77","2.77","2.68","9.70M","-2.90%"
"01/04/2026","2.76","2.82","2.84","2.75","7.35M","-1.78%"
"12/31/2025","2.81","2.83","2.85","2.81","5.38M","0.00%"
"12/30/2025","2.81","2.82","2.83","2.80","6.94M","0.36%"
"12/29/2025","2.80","2.80","2.87","2.80","5.82M","0.00%"
"12/28/2025","2.80","2.80","2.82","2.79","1.06M","0.36%"
"12/25/2025","2.79","2.81","2.82","2.79","2.09M","-0.36%"
"12/24/2025","2.80","2.78","2.81","2.78","1.52M","0.72%"
"12/23/2025","2.78","2.78","2.80","2.76","2.61M","0.36%"
"12/22/2025","2.77","2.80","2.83","2.74","4.32M","-1.07%"
"12/21/2025","2.80","2.85","2.86","2.79","5.15M","-1.41%"
"12/18/2025","2.84","2.83","2.89","2.83","6.04M","0.35%"
"12/17/2025","2.83","2.85","2.86","2.81","3.57M","0.00%"
"12/16/2025","2.83","2.89","2.90","2.82","3.38M","-1.74%"
"12/15/2025","2.88","2.89","2.92","2.88","5.01M","0.00%"
"12/14/2025","2.88","2.88","2.92","2.88","6.85M","0.00%"
"12/11/2025","2.88","2.92","2.93","2.87","7.49M","-1.71%"
"12/10/2025","2.93","2.92","2.97","2.90","13.50M","1.03%"
"12/09/2025","2.90","2.82","2.95","2.80","36.19M","2.84%"
"12/08/2025","2.82","2.81","2.82","2.79","4.75M","0.71%"
"12/07/2025","2.80","2.74","2.84","2.73","8.67M","2.56%"
"12/04/2025","2.73","2.76","2.77","2.72","4.29M","-0.36%"
"12/03/2025","2.74","2.76","2.78","2.74","2.48M","-0.36%"
"12/02/2025","2.75","2.78","2.81","2.75","5.02M","-0.72%"
"12/01/2025","2.77","2.81","2.82","2.76","10.67M","-0.72%"
"11/30/2025","2.79","2.74","2.80","2.71","21.65M","3.33%"
"11/27/2025","2.70","2.64","2.73","2.62","12.84M","3.05%"
"11/26/2025","2.62","2.63","2.66","2.61","4.84M","0.00%"
"11/25/2025","2.62","2.67","2.68","2.62","6.74M","-1.87%"
"11/24/2025","2.67","2.70","2.70","2.65","2.17M","-0.37%"
"11/23/2025","2.68","2.66","2.73","2.64","6.68M","1.52%"
"11/20/2025","2.64","2.65","2.66","2.63","2.17M","0.38%"
"11/19/2025","2.63","2.65","2.67","2.60","11.59M","-1.13%"
"11/18/2025","2.66","2.71","2.72","2.66","7.19M","-1.48%"
"11/17/2025","2.70","2.73","2.73","2.70","5.13M","-0.37%"
"11/16/2025","2.71","2.73","2.73","2.70","7.41M","0.00%"
"11/13/2025","2.71","2.75","2.75","2.70","6.71M","-0.73%"
"11/12/2025","2.73","2.74","2.75","2.73","3.48M","0.00%"
"11/11/2025","2.73","2.74","2.77","2.73","5.88M","0.00%"
"11/10/2025","2.73","2.78","2.78","2.71","7.54M","-1.09%"
"11/09/2025","2.76","2.75","2.78","2.72","14.95M","0.73%"
"11/06/2025","2.74","2.71","2.76","2.71","6.97M","1.11%"
"11/05/2025","2.71","2.75","2.77","2.70","11.42M","-0.73%"
"11/04/2025","2.73","2.73","2.75","2.71","6.46M","0.37%"
"11/03/2025","2.72","2.78","2.79","2.70","20.10M","-1.45%"
"11/02/2025","2.76","2.81","2.82","2.75","11.29M","-1.43%"
"10/30/2025","2.80","2.85","2.88","2.79","22.02M","-1.06%"
"10/29/2025","2.83","2.92","2.93","2.78","45.04M","-3.74%"
"10/28/2025","2.94","2.96","2.98","2.92","3.43M","-0.34%"
"10/27/2025","2.95","2.96","2.99","2.94","7.32M","-0.34%"
"10/26/2025","2.96","2.92","2.97","2.90","8.40M","2.07%"
"10/23/2025","2.90","2.90","2.93","2.89","7.09M","0.00%"
"10/22/2025","2.90","2.90","2.94","2.89","3.75M","0.35%"
"10/21/2025","2.89","2.91","2.92","2.88","7.64M","-0.69%"
"10/20/2025","2.91","2.96","2.97","2.91","5.32M","-1.36%"
"10/19/2025","2.95","2.94","2.98","2.92","5.63M","0.68%"
"10/16/2025","2.93","2.92","2.95","2.91","3.01M","0.34%"
"10/15/2025","2.92","2.92","2.94","2.89","6.98M","0.00%"
"10/14/2025","2.92","2.99","3.00","2.92","13.84M","-1.68%"
"10/13/2025","2.97","2.96","3.02","2.96","14.31M","0.34%"
"10/12/2025","2.96","3.01","3.03","2.95","8.95M","-1.33%"
"10/08/2025","3.00","3.05","3.07","2.98","11.62M","-0.99%"
"10/07/2025","3.03","3.12","3.15","3.03","51.32M","-1.94%"
"10/06/2025","3.09","2.87","3.12","2.85","74.66M","7.67%"
"10/05/2025","2.87","2.89","2.92","2.87","2.87M","0.00%"
"10/02/2025","2.87","2.92","2.92","2.87","3.43M","-1.03%"
"10/01/2025","2.90","2.94","2.94","2.89","5.02M","-0.68%"
"09/30/2025","2.92","2.91","2.97","2.91","32.66M","-0.34%"
"09/29/2025","2.93","2.86","2.94","2.84","4.13M","3.17%"
"09/28/2025","2.84","2.87","2.88","2.84","28.30M","-0.70%"
"09/25/2025","2.86","2.90","2.91","2.86","2.11M","-0.69%"
"09/24/2025","2.88","2.88","2.90","2.85","1.91M","0.35%"
"09/23/2025","2.87","2.85","2.88","2.83","1.05M","1.41%"
"09/22/2025","2.83","2.85","2.87","2.83","1.21M","0.00%"
"09/21/2025","2.83","2.89","2.89","2.83","1.83M","-1.39%"
"09/18/2025","2.87","2.87","2.89","2.86","998.90K","0.35%"
"09/17/2025","2.86","2.88","2.88","2.83","1.26M","0.35%"
"09/16/2025","2.85","2.91","2.93","2.84","7.32M","-2.06%"
"09/15/2025","2.91","2.90","2.95","2.90","2.09M","0.34%"
"09/14/2025","2.90","2.92","2.92","2.89","1.26M","-0.34%"
"09/11/2025","2.91","2.93","2.95","2.89","4.02M","-0.34%"
"09/10/2025","2.92","2.91","2.93","2.87","5.43M","0.69%"
"09/09/2025","2.90","2.92","2.94","2.90","3.54M","-0.68%"
"09/08/2025","2.92","2.95","2.95","2.91","5.32M","-0.68%"
"09/07/2025","2.94","2.93","2.95","2.91","6.35M","1.03%"
"09/03/2025","2.91","2.96","2.97","2.91","6.09M","-1.36%"
"09/02/2025","2.95","2.99","3.00","2.95","8.35M","-1.01%"
"09/01/2025","2.98","2.99","3.00","2.97","4.95M","0.34%"
"08/31/2025","2.97","3.01","3.04","2.97","11.24M","-1.00%"
"08/28/2025","3.00","3.05","3.05","2.97","21.70M","-1.32%"
"08/27/2025","3.04","3.04","3.06","3.02","4.13M","0.66%"
"08/26/2025","3.02","3.04","3.08","3.01","12.98M","0.33%"
"08/25/2025","3.01","3.01","3.03","3.00","3.35M","0.33%"
"08/24/2025","3.00","3.07","3.07","3.00","5.57M","-1.64%"
"08/21/2025","3.05","2.97","3.08","2.96","12.78M","2.69%"
"08/20/2025","2.97","2.99","3.01","2.96","4.18M","-0.67%"
"08/19/2025","2.99","3.00","3.02","2.98","4.39M","-0.33%"
"08/18/2025","3.00","3.01","3.03","2.98","15.29M","-3.85%"
"08/17/2025","3.12","3.11","3.14","3.09","12.17M","0.97%"
"08/14/2025","3.09","3.09","3.10","3.07","2.04M","-0.32%"
"08/13/2025","3.10","3.14","3.14","3.06","3.81M","-1.27%"
"08/12/2025","3.14","3.12","3.14","2.99","24.08M","0.96%"
"08/11/2025","3.11","3.14","3.14","3.10","3.77M","-0.64%"
"08/10/2025","3.13","3.16","3.16","3.12","3.65M","0.00%"
"08/07/2025","3.13","3.12","3.15","3.10","4.79M","0.64%"
"08/06/2025","3.11","3.13","3.15","3.11","5.05M","-0.64%"
"08/05/2025","3.13","3.13","3.16","3.11","7.34M","0.64%"
"08/04/2025","3.11","3.14","3.16","3.09","7.14M","0.00%"
"08/03/2025","3.11","3.10","3.18","3.08","10.91M","1.30%"
"07/31/2025","3.07","3.08","3.17","3.06","21.75M","3.02%"
"07/30/2025","2.98","3.02","3.04","2.96","7.68M","-0.33%"
"07/29/2025","2.99","3.01","3.04","2.98","5.30M","-0.66%"
"07/28/2025","3.01","3.06","3.09","3.01","5.92M","-0.66%"
"07/27/2025","3.03","3.08","3.08","3.03","1.81M","-0.33%"
"07/23/2025","3.04","3.07","3.07","3.04","2.88M","0.00%"
"07/22/2025","3.04","3.06","3.11","3.04","4.88M","-0.65%"
"07/21/2025","3.06","3.13","3.17","3.06","13.23M","-2.24%"
"07/20/2025","3.13","3.20","3.23","3.11","15.58M","-1.88%"
"07/17/2025","3.19","3.16","3.25","3.16","18.93M","0.95%"
"07/16/2025","3.16","3.22","3.26","3.16","3.53M","-1.86%"
"07/15/2025","3.22","3.28","3.30","3.19","9.25M","-1.83%"
"07/14/2025","3.28","3.21","3.31","3.21","5.25M","2.18%"
"07/13/2025","3.21","3.32","3.34","3.19","6.90M","-3.31%"
"07/10/2025","3.32","3.32","3.40","3.28","12.61M","0.00%"
"07/09/2025","3.32","3.34","3.40","3.29","8.37M","-0.60%"
"07/07/2025","3.34","3.36","3.42","3.30","58.85M","1.21%"
"07/06/2025","3.30","3.01","3.30","3.01","102.27M","10.37%"
"07/02/2025","2.99","2.99","3.03","2.98","3.61M","0.34%"
"07/01/2025","2.98","3.02","3.04","2.98","2.15M","-0.67%"
"06/30/2025","3.00","3.04","3.05","2.99","5.47M","-1.32%"
"06/29/2025","3.04","3.06","3.09","3.04","3.87M","-0.33%"
"06/25/2025","3.05","3.05","3.12","3.05","53.50M","0.33%"
"06/24/2025","3.04","2.91","3.05","2.89","7.98M","7.04%"
"06/23/2025","2.84","2.80","2.88","2.80","3.08M","1.79%"
"06/22/2025","2.79","2.72","2.83","2.68","3.62M","0.36%"
"06/19/2025","2.78","2.86","2.86","2.77","2.59M","-2.80%"
"06/18/2025","2.86","2.81","2.86","2.75","2.58M","2.14%"
"06/17/2025","2.80","2.87","2.90","2.79","2.88M","-2.10%"
"06/16/2025","2.86","2.94","2.94","2.85","2.86M","-1.72%"
"06/15/2025","2.91","2.96","2.96","2.70","5.05M","-4.28%"
"06/12/2025","3.04","3.12","3.12","3.02","39.29M","-2.56%"
"06/11/2025","3.12","3.14","3.17","3.10","14.85M","0.32%"
"06/10/2025","3.11","3.03","3.16","3.02","18.69M","3.32%"
"06/04/2025","3.01","3.02","3.03","3.00","3.38M","0.33%"
"06/03/2025","3.00","3.00","3.05","2.99","9.01M","0.00%"
"06/02/2025","3.00","3.02","3.04","2.99","1.97M","-0.99%"
"06/01/2025","3.03","3.04","3.07","3.02","3.16M","-0.33%"
"05/29/2025","3.04","3.07","3.07","3.03","4.20M","-0.98%"
"05/28/2025","3.07","3.02","3.08","3.00","47.39M","2.33%"
"05/27/2025","3.00","2.99","3.02","2.98","7.05M","0.67%"
"05/26/2025","2.98","3.04","3.04","2.98","36.34M","-1.32%"
"05/25/2025","3.02","3.00","3.07","2.99","13.41M","1.00%"
"05/22/2025","2.99","2.96","3.00","2.94","4.83M","1.36%"
