"Date","Price","Open","High","Low","Vol.","Change %"
"01/28/2026","0.37","0.38","0.38","0.37","16.30M","-2.90%"
"01/27/2026","0.38","0.38","0.38","0.38","8.50M","0.00%"
"01/26/2026","0.38","0.39","0.39","0.38","15.75M","-2.81%"
"01/25/2026","0.39","0.40","0.41","0.39","29.41M","-2.24%"
"01/22/2026","0.40","0.41","0.41","0.40","14.04M","0.00%"
"01/21/2026","0.41","0.41","0.41","0.39","12.59M","0.00%"
"01/20/2026","0.41","0.41","0.42","0.41","27.59M","0.00%"
"01/19/2026","0.41","0.39","0.41","0.39","26.63M","4.10%"
"01/18/2026","0.39","0.38","0.39","0.38","18.30M","3.17%"
"01/15/2026","0.38","0.39","0.40","0.38","30.67M","-2.33%"
"01/14/2026","0.39","0.42","0.42","0.38","42.48M","-7.19%"
"01/13/2026","0.42","0.43","0.43","0.41","17.75M","-2.80%"
"01/12/2026","0.43","0.41","0.43","0.41","43.54M","4.63%"
"01/11/2026","0.41","0.41","0.42","0.41","16.58M","0.00%"
"01/08/2026","0.41","0.42","0.43","0.41","31.54M","0.00%"
"01/06/2026","0.42","0.42","0.42","0.42","25.14M","0.00%"
"01/05/2026","0.42","0.44","0.44","0.42","24.81M","-4.76%"
"01/04/2026","0.44","0.44","0.44","0.43","8.40M","1.38%"
"12/31/2025","0.44","0.44","0.45","0.43","30.96M","-1.36%"
"12/30/2025","0.44","0.45","0.46","0.44","28.34M","-2.65%"
"12/29/2025","0.45","0.43","0.45","0.43","43.28M","5.59%"
"12/28/2025","0.43","0.44","0.45","0.43","23.39M","-2.94%"
"12/25/2025","0.44","0.44","0.45","0.44","27.15M","0.00%"
"12/24/2025","0.44","0.43","0.45","0.42","41.78M","3.51%"
"12/23/2025","0.43","0.45","0.45","0.42","41.66M","-4.04%"
"12/22/2025","0.44","0.44","0.46","0.44","29.78M","0.00%"
"12/21/2025","0.44","0.45","0.47","0.44","101.02M","0.00%"
"12/18/2025","0.45","0.49","0.49","0.45","88.84M","-8.02%"
"12/17/2025","0.49","0.48","0.49","0.47","107.13M","2.75%"
"12/16/2025","0.47","0.50","0.50","0.46","84.16M","-5.02%"
"12/15/2025","0.50","0.53","0.54","0.50","141.57M","-4.78%"
"12/14/2025","0.52","0.53","0.54","0.52","69.03M","0.00%"
"12/11/2025","0.52","0.52","0.54","0.52","80.76M","0.00%"
"12/10/2025","0.52","0.52","0.53","0.51","80.06M","1.16%"
"12/09/2025","0.52","0.52","0.54","0.52","104.66M","0.00%"
"12/08/2025","0.51","0.53","0.53","0.51","122.79M","-3.02%"
"12/07/2025","0.53","0.48","0.53","0.48","203.31M","10.19%"
"12/04/2025","0.48","0.49","0.50","0.48","46.26M","-1.64%"
"12/03/2025","0.49","0.49","0.50","0.47","76.49M","1.66%"
"12/02/2025","0.48","0.50","0.50","0.48","26.67M","0.00%"
"12/01/2025","0.49","0.49","0.50","0.48","97.48M","0.00%"
"11/30/2025","0.48","0.51","0.51","0.48","151.17M","-3.60%"
"11/27/2025","0.50","0.48","0.51","0.48","154.95M","5.04%"
"11/26/2025","0.48","0.46","0.48","0.45","79.22M","3.48%"
"11/25/2025","0.46","0.46","0.48","0.46","145.48M","0.00%"
"11/24/2025","0.46","0.44","0.47","0.44","216.24M","5.30%"
"11/23/2025","0.43","0.44","0.44","0.42","123.07M","0.00%"
"11/20/2025","0.44","0.48","0.49","0.43","187.12M","-10.31%"
"11/19/2025","0.49","0.44","0.49","0.43","166.05M","10.23%"
"11/18/2025","0.44","0.41","0.45","0.40","208.79M","8.37%"
"11/17/2025","0.41","0.40","0.41","0.38","116.92M","1.75%"
"11/16/2025","0.40","0.41","0.41","0.38","48.41M","0.00%"
"11/13/2025","0.40","0.38","0.40","0.38","124.75M","4.70%"
"11/12/2025","0.38","0.37","0.38","0.37","97.31M","4.08%"
"11/11/2025","0.37","0.35","0.38","0.35","204.97M","6.98%"
"11/10/2025","0.34","0.34","0.35","0.33","44.92M","0.00%"
"11/09/2025","0.34","0.34","0.34","0.33","29.40M","1.80%"
"11/06/2025","0.33","0.34","0.34","0.32","33.31M","0.00%"
"11/05/2025","0.33","0.34","0.35","0.33","57.68M","-3.77%"
"11/04/2025","0.34","0.34","0.34","0.34","19.08M","0.00%"
"11/03/2025","0.34","0.34","0.35","0.33","32.66M","2.10%"
"11/02/2025","0.33","0.34","0.35","0.33","13.12M","-2.91%"
"10/30/2025","0.34","0.35","0.35","0.34","12.30M","0.00%"
"10/29/2025","0.34","0.34","0.35","0.34","54.39M","0.00%"
"10/28/2025","0.34","0.33","0.34","0.32","87.63M","0.00%"
"10/27/2025","0.34","0.33","0.34","0.33","53.34M","0.00%"
"10/26/2025","0.33","0.31","0.34","0.30","166.31M","7.82%"
"10/23/2025","0.31","0.29","0.31","0.29","148.26M","6.23%"
"10/22/2025","0.29","0.28","0.30","0.28","87.59M","2.12%"
"10/21/2025","0.28","0.28","0.29","0.28","22.69M","0.00%"
"10/20/2025","0.28","0.29","0.29","0.28","22.27M","-2.07%"
"10/19/2025","0.29","0.29","0.29","0.29","51.15M","0.00%"
"10/16/2025","0.29","0.28","0.31","0.28","369.71M","5.09%"
"10/15/2025","0.28","0.26","0.28","0.26","102.40M","4.17%"
"10/14/2025","0.26","0.26","0.28","0.26","72.26M","0.00%"
