"Date","Price","Open","High","Low","Vol.","Change %"
"01/28/2026","134.00","133.05","135.00","132.90","5.65M","0.87%"
"01/27/2026","132.85","131.30","133.74","131.30","4.37M","1.43%"
"01/26/2026","130.98","129.00","132.69","128.92","3.60M","1.61%"
"01/25/2026","128.90","128.02","129.80","127.80","1.29M","0.91%"
"01/22/2026","127.74","127.51","129.30","127.00","4.64M","0.58%"
"01/21/2026","127.00","126.70","127.50","125.00","3.06M","0.24%"
"01/20/2026","126.70","125.03","127.00","124.80","3.93M","1.44%"
"01/19/2026","124.90","124.00","125.40","123.40","2.14M","1.50%"
"01/18/2026","123.05","123.00","124.99","122.22","1.53M","1.10%"
"01/15/2026","121.71","118.00","125.80","117.80","9.09M","3.36%"
"01/14/2026","117.75","120.00","120.50","115.10","3.45M","-2.14%"
"01/13/2026","120.33","118.00","122.80","117.80","7.08M","4.54%"
"01/12/2026","115.10","109.45","115.10","108.00","5.89M","6.11%"
"01/11/2026","108.47","108.00","110.25","107.65","4.40M","4.00%"
"01/08/2026","104.30","103.41","105.58","103.40","3.73M","1.25%"
"01/06/2026","103.01","101.02","103.01","100.31","2.41M","1.99%"
"01/05/2026","101.00","101.45","101.89","98.30","2.96M","0.48%"
"01/04/2026","100.52","103.98","103.98","100.52","915.46K","-2.41%"
"12/31/2025","103.00","103.00","104.10","103.00","1.15M","0.00%"
"12/30/2025","103.00","103.91","104.00","102.70","975.94K","-0.89%"
"12/29/2025","103.92","103.75","103.99","102.50","1.36M","0.41%"
"12/28/2025","103.50","103.80","104.30","103.01","371.57K","0.49%"
"12/25/2025","103.00","104.88","104.90","102.31","900.61K","-1.79%"
"12/24/2025","104.88","103.94","104.98","103.01","1.45M","0.89%"
"12/23/2025","103.95","102.01","103.95","101.27","2.04M","2.11%"
"12/22/2025","101.80","104.27","105.49","101.80","3.11M","-2.35%"
"12/21/2025","104.25","101.94","104.25","101.70","13.46M","3.19%"
"12/18/2025","101.03","103.80","104.98","101.03","7.34M","-2.67%"
