"Date","Price","Open","High","Low","Vol.","Change %"
"01/28/2026","37.80","37.02","37.90","36.72","1.09M","2.16%"
"01/27/2026","37.00","38.00","38.00","37.00","2.62M","-2.63%"
"01/26/2026","38.00","37.00","38.00","36.15","1.46M","2.70%"
"01/25/2026","37.00","37.88","37.90","36.61","910.08K","-1.86%"
"01/22/2026","37.70","37.73","38.00","37.26","2.18M","0.72%"
"01/21/2026","37.43","37.71","37.89","37.02","1.65M","-0.72%"
"01/20/2026","37.70","37.50","38.49","37.50","2.20M","0.53%"
"01/19/2026","37.50","36.99","37.67","36.41","1.11M","1.38%"
"01/18/2026","36.99","36.94","36.99","36.10","503.93K","1.15%"
"01/15/2026","36.57","35.87","36.93","35.50","2.20M","1.89%"
"01/14/2026","35.89","36.10","36.10","35.01","3.21M","-0.31%"
"01/13/2026","36.00","36.48","37.00","35.56","2.24M","-0.55%"
"01/12/2026","36.20","37.19","37.49","36.00","3.46M","-2.53%"
"01/11/2026","37.14","37.90","38.25","37.10","848.74K","-1.75%"
"01/08/2026","37.80","37.51","38.04","37.10","3.99M","0.75%"
"01/06/2026","37.52","36.05","38.12","35.55","1.11M","4.22%"
"01/05/2026","36.00","36.02","36.25","34.85","1.85M","0.00%"
"01/04/2026","36.00","37.10","37.40","36.00","594.06K","-2.96%"
"12/31/2025","37.10","37.32","37.44","37.01","530.23K","-0.54%"
"12/30/2025","37.30","37.90","37.99","37.25","874.60K","-1.58%"
"12/29/2025","37.90","38.09","38.09","37.50","1.23M","0.08%"
"12/28/2025","37.87","37.80","38.00","37.68","1.04M","0.45%"
"12/25/2025","37.70","37.90","38.15","37.65","733.34K","-0.48%"
"12/24/2025","37.88","38.00","38.00","37.61","854.05K","-0.18%"
"12/23/2025","37.95","38.50","38.50","37.80","924.48K","-1.43%"
"12/22/2025","38.50","38.79","39.20","37.75","2.32M","-0.65%"
"12/21/2025","38.75","40.00","40.14","38.71","10.11M","-2.88%"
"12/18/2025","39.90","42.48","42.65","39.90","9.47M","-5.61%"
"12/17/2025","42.27","43.40","43.70","42.10","1.01M","-2.04%"
"12/16/2025","43.15","42.39","43.60","42.37","747.08K","1.77%"
"12/15/2025","42.40","42.37","42.65","42.02","2.10M","0.00%"
"12/14/2025","42.40","42.15","42.47","41.81","209.94K","0.59%"
"12/11/2025","42.15","49.30","49.30","41.67","922.26K","0.48%"
"12/10/2025","41.95","42.28","42.48","41.90","457.51K","-0.12%"
"12/09/2025","42.00","42.98","43.90","41.70","1.99M","-6.04%"
"12/08/2025","44.70","45.88","45.88","44.60","2.45M","-2.61%"
"12/07/2025","45.90","45.48","46.24","44.87","481.39K","0.90%"
"12/04/2025","45.49","45.32","45.90","44.70","2.13M","0.44%"
"12/03/2025","45.29","45.95","45.95","45.00","1.30M","-1.01%"
"12/02/2025","45.75","45.77","45.89","45.20","505.53K","-0.04%"
"12/01/2025","45.77","45.99","46.30","45.00","893.92K","-0.48%"
"11/30/2025","45.99","46.05","46.50","45.80","200.48K","-0.24%"
"11/27/2025","46.10","45.35","46.10","45.10","623.09K","1.65%"
"11/26/2025","45.35","45.99","45.99","45.00","477.63K","0.42%"
"11/25/2025","45.16","46.40","46.40","45.16","2.94M","0.44%"
"11/24/2025","44.96","48.00","48.15","44.96","6.18M","-6.31%"
"11/23/2025","47.99","47.50","48.10","47.00","258.38K","1.03%"
"11/20/2025","47.50","48.00","48.40","46.27","809.11K","-0.81%"
"11/19/2025","47.89","47.98","48.49","47.60","1.86M","0.40%"
"11/18/2025","47.70","47.95","48.90","47.61","317.30K","0.00%"
"11/17/2025","47.70","48.50","48.50","47.37","2.06M","-1.71%"
"11/16/2025","48.53","45.80","49.95","45.50","1.59M","7.37%"
"11/13/2025","45.20","45.50","46.40","45.09","1.15M","-0.37%"
"11/12/2025","45.37","47.00","47.90","44.30","1.04M","-3.47%"
"11/11/2025","47.00","46.94","47.68","46.53","601.74K","1.08%"
"11/10/2025","46.50","49.49","49.99","46.50","1.98M","-6.04%"
"11/09/2025","49.49","48.00","49.50","47.00","234.81K","5.28%"
"11/06/2025","47.01","45.10","49.00","44.30","984.59K","4.58%"
"11/05/2025","44.95","45.50","45.95","44.70","1.20M","-0.11%"
