"Date","Price","Open","High","Low","Vol.","Change %"
"01/28/2026","15.41","15.50","15.74","15.26","2.14M","-0.52%"
"01/27/2026","15.49","15.39","15.62","15.23","1.38M","0.91%"
"01/26/2026","15.35","15.75","15.75","15.31","1.57M","-2.23%"
"01/25/2026","15.70","14.81","15.77","14.80","4.59M","6.44%"
"01/22/2026","14.75","14.54","14.87","14.54","1.66M","1.58%"
"01/21/2026","14.52","14.62","14.74","14.37","1.61M","0.07%"
"01/20/2026","14.51","14.71","14.81","14.50","1.23M","-1.09%"
"01/19/2026","14.67","14.41","14.69","14.36","888.71K","1.88%"
"01/18/2026","14.40","14.30","14.65","14.30","607.56K","1.27%"
"01/15/2026","14.22","14.76","14.80","14.20","2.34M","-2.94%"
"01/14/2026","14.65","14.86","14.90","14.50","991.44K","-1.41%"
"01/13/2026","14.86","15.28","15.36","14.80","2.32M","-2.75%"
"01/12/2026","15.28","15.55","15.55","15.08","1.42M","-0.93%"
"01/11/2026","15.42","15.44","15.52","15.31","2.16M","0.21%"
"01/08/2026","15.39","15.52","15.56","15.36","1.70M","-0.82%"
"01/06/2026","15.52","15.50","15.58","15.45","1.26M","0.36%"
"01/05/2026","15.46","15.64","15.72","15.40","1.17M","-1.13%"
"01/04/2026","15.64","15.72","15.78","15.56","791.66K","-0.26%"
"12/31/2025","15.68","15.70","15.84","15.58","1.64M","0.51%"
"12/30/2025","15.60","15.66","15.76","15.60","589.22K","-0.36%"
"12/29/2025","15.66","15.82","15.82","15.52","803.97K","-0.81%"
"12/28/2025","15.78","15.78","15.84","15.72","396.00K","0.41%"
"12/25/2025","15.72","15.76","15.83","15.70","421.49K","-0.25%"
"12/24/2025","15.76","15.84","15.93","15.68","881.45K","-0.51%"
"12/23/2025","15.84","15.86","15.96","15.66","1.79M","0.05%"
"12/22/2025","15.83","15.61","15.83","15.59","2.11M","2.12%"
"12/21/2025","15.50","15.60","15.66","15.50","881.24K","0.00%"
"12/18/2025","15.50","15.44","15.76","15.44","2.36M","0.94%"
"12/17/2025","15.36","15.33","15.40","15.32","772.74K","0.47%"
"12/16/2025","15.29","15.36","15.38","15.27","665.87K","0.16%"
"12/15/2025","15.26","15.35","15.38","15.25","489.45K","-0.37%"
"12/14/2025","15.32","15.41","15.50","15.20","1.37M","-0.05%"
"12/11/2025","15.33","15.49","15.54","15.28","969.73K","-0.73%"
"12/10/2025","15.44","15.22","15.45","15.22","760.38K","1.47%"
"12/09/2025","15.22","15.23","15.26","15.16","645.73K","-0.11%"
"12/08/2025","15.23","15.11","15.27","15.10","1.03M","1.12%"
"12/07/2025","15.06","15.19","15.19","15.04","562.03K","0.00%"
"12/04/2025","15.06","15.11","15.24","15.06","563.12K","-0.32%"
"12/03/2025","15.11","15.12","15.20","15.04","560.51K","0.48%"
"12/02/2025","15.04","15.04","15.13","14.96","842.12K","0.00%"
"12/01/2025","15.04","15.13","15.28","15.04","802.64K","-0.53%"
"11/30/2025","15.12","15.19","15.27","14.95","1.40M","-0.05%"
"11/27/2025","15.13","15.12","15.18","15.04","515.49K","0.42%"
"11/26/2025","15.06","15.20","15.22","15.06","637.98K","-0.74%"
"11/25/2025","15.18","15.20","15.31","15.16","712.56K","-0.26%"
"11/24/2025","15.22","15.32","15.36","15.20","1.13M","-0.52%"
"11/23/2025","15.30","15.30","15.37","15.30","406.27K","0.05%"
"11/20/2025","15.29","15.33","15.36","15.28","506.00K","0.16%"
"11/19/2025","15.26","15.54","15.54","15.20","1.65M","-1.19%"
"11/18/2025","15.45","15.64","15.76","15.44","1.35M","-0.97%"
"11/17/2025","15.60","15.70","15.76","15.56","902.40K","-0.10%"
"11/16/2025","15.62","15.68","15.74","15.54","1.00M","0.46%"
"11/13/2025","15.54","15.60","15.66","15.52","544.73K","-0.10%"
"11/12/2025","15.56","15.74","15.74","15.55","551.27K","-0.31%"
"11/11/2025","15.61","15.75","15.81","15.61","1.44M","-0.51%"
"11/10/2025","15.69","15.94","16.06","15.64","2.61M","-1.56%"
"11/09/2025","15.94","15.82","15.99","15.67","3.78M","1.12%"
"11/06/2025","15.76","15.35","15.92","15.22","4.13M","2.76%"
"11/05/2025","15.34","15.29","15.38","15.20","1.48M","0.37%"
"11/04/2025","15.28","15.25","15.40","15.22","907.97K","0.53%"
"11/03/2025","15.20","15.48","15.50","15.17","1.82M","-1.04%"
"11/02/2025","15.36","15.60","15.68","15.36","1.16M","-1.49%"
"10/30/2025","15.59","15.64","15.71","15.58","675.63K","-0.05%"
"10/29/2025","15.60","15.74","15.74","15.58","873.84K","-0.56%"
"10/28/2025","15.69","15.82","15.83","15.64","839.60K","-0.51%"
"10/27/2025","15.77","15.94","15.95","15.75","1.21M","-0.81%"
"10/26/2025","15.90","15.89","15.97","15.71","1.56M","0.51%"
"10/23/2025","15.82","15.91","15.96","15.68","1.47M","-0.40%"
"10/22/2025","15.88","15.84","15.98","15.78","2.16M","0.66%"
"10/21/2025","15.78","15.57","15.81","15.55","2.11M","1.44%"
"10/20/2025","15.55","15.62","15.66","15.54","2.83M","-0.31%"
"10/19/2025","15.60","15.60","15.64","15.54","1.79M","0.31%"
"10/16/2025","15.55","15.60","15.67","15.50","1.34M","-0.31%"
"10/15/2025","15.60","15.74","15.74","15.53","1.27M","-0.86%"
"10/14/2025","15.74","15.80","15.80","15.66","3.07M","0.05%"
"10/13/2025","15.73","15.76","15.87","15.68","876.93K","0.05%"
"10/12/2025","15.72","15.84","16.00","15.68","712.13K","-1.01%"
"10/08/2025","15.88","15.85","15.92","15.76","441.76K","0.20%"
"10/07/2025","15.85","16.00","16.08","15.84","735.63K","-0.95%"
"10/06/2025","16.00","16.14","16.14","15.94","577.82K","-0.55%"
"10/05/2025","16.09","16.01","16.12","15.92","901.50K","0.55%"
"10/02/2025","16.00","16.06","16.16","15.78","1.92M","-0.40%"
"10/01/2025","16.06","15.88","16.08","15.69","2.12M","1.16%"
"09/30/2025","15.88","15.31","15.92","15.29","7.05M","3.93%"
"09/29/2025","15.28","15.28","15.31","15.14","725.25K","0.10%"
"09/28/2025","15.26","15.12","15.30","15.10","722.82K","0.90%"
"09/25/2025","15.13","15.30","15.36","15.13","868.71K","-0.47%"
"09/24/2025","15.20","14.73","15.23","14.71","2.83M","3.26%"
