"Date","Price","Open","High","Low","Vol.","Change %"
"01/28/2026","13.87","14.92","14.92","13.81","748.73K","-4.01%"
"01/27/2026","14.45","14.99","15.00","14.30","492.12K","-2.63%"
"01/26/2026","14.84","15.05","15.19","14.80","105.02K","-0.40%"
"01/25/2026","14.90","14.92","15.50","14.87","378.96K","0.20%"
"01/22/2026","14.87","14.67","15.88","14.67","1.30M","1.36%"
"01/21/2026","14.67","14.70","14.85","14.63","55.19K","-0.61%"
"01/20/2026","14.76","14.84","14.97","14.60","165.04K","0.48%"
"01/19/2026","14.69","14.48","14.88","14.48","94.65K","0.07%"
"01/18/2026","14.68","14.51","14.90","14.26","44.33K","1.17%"
"01/15/2026","14.51","14.40","14.69","14.02","107.86K","0.28%"
"01/14/2026","14.47","14.65","14.80","14.39","80.03K","-1.23%"
"01/13/2026","14.65","14.75","14.94","14.50","90.30K","-0.95%"
"01/12/2026","14.79","15.00","15.10","14.69","214.94K","-0.07%"
"01/11/2026","14.80","14.54","15.15","14.40","424.95K","1.86%"
"01/08/2026","14.53","14.59","14.68","14.40","24.76K","-0.41%"
"01/06/2026","14.59","14.46","14.67","14.30","47.58K","0.90%"
"01/05/2026","14.46","14.70","14.90","14.32","141.57K","-2.89%"
"01/04/2026","14.89","14.75","14.95","14.70","44.72K","0.95%"
"12/31/2025","14.75","14.87","14.88","14.71","53.68K","-0.74%"
"12/30/2025","14.86","14.81","14.96","14.76","60.75K","-0.13%"
"12/29/2025","14.88","14.99","14.99","14.80","44.18K","-0.27%"
"12/28/2025","14.92","14.85","14.99","14.75","29.37K","0.67%"
"12/25/2025","14.82","12.40","14.98","12.40","51.28K","-0.80%"
"12/24/2025","14.94","14.81","15.10","14.65","113.65K","0.88%"
"12/23/2025","14.81","14.62","14.87","14.54","111.48K","1.30%"
"12/22/2025","14.62","14.80","14.80","14.60","49.14K","-0.81%"
"12/21/2025","14.74","14.84","14.95","14.62","90.17K","-0.87%"
"12/18/2025","14.87","14.85","15.00","14.83","58.77K","-0.20%"
"12/17/2025","14.90","14.99","15.00","14.81","87.77K","-0.40%"
"12/16/2025","14.96","15.01","15.05","14.91","71.55K","-0.33%"
"12/15/2025","15.01","15.06","15.10","15.00","98.11K","-0.20%"
"12/14/2025","15.04","15.06","15.17","15.00","55.64K","-0.07%"
"12/11/2025","15.05","15.11","15.14","15.00","148.56K","0.00%"
"12/10/2025","15.05","15.11","15.20","15.02","97.08K","-0.40%"
"12/09/2025","15.11","15.16","15.20","14.98","727.27K","-0.33%"
"12/08/2025","15.16","15.25","15.36","15.11","141.45K","-0.39%"
"12/07/2025","15.22","15.20","15.30","15.05","157.00K","0.26%"
"12/04/2025","15.18","15.35","15.36","15.16","147.82K","0.20%"
"12/03/2025","15.15","15.39","15.49","15.00","290.60K","0.73%"
"12/02/2025","15.04","15.44","15.45","15.00","557.04K","-2.40%"
"12/01/2025","15.41","17.12","18.45","15.40","2.04M","-9.99%"
"11/30/2025","17.12","15.96","17.40","15.51","665.78K","7.27%"
"11/27/2025","15.96","15.50","16.00","15.00","178.82K","2.97%"
"11/26/2025","15.50","15.45","15.98","15.45","85.77K","0.32%"
"11/25/2025","15.45","15.99","16.28","15.21","218.27K","-2.71%"
"11/24/2025","15.88","15.80","17.80","15.71","781.41K","1.08%"
"11/23/2025","15.71","15.70","16.35","15.65","133.21K","-0.13%"
"11/20/2025","15.73","15.65","16.00","15.62","43.43K","-0.19%"
"11/19/2025","15.76","15.70","16.00","15.51","96.01K","0.32%"
"11/18/2025","15.71","15.85","16.39","15.70","429.69K","-1.38%"
"11/17/2025","15.93","16.05","16.38","15.77","68.48K","-0.31%"
"11/16/2025","15.98","16.91","16.91","15.96","428.51K","-5.05%"
"11/13/2025","16.83","17.00","17.70","16.51","543.07K","-3.16%"
"11/12/2025","17.38","18.70","19.08","17.20","944.27K","-4.19%"
"11/11/2025","18.14","15.10","18.14","14.88","1.56M","19.97%"
"11/10/2025","15.12","14.46","15.25","14.45","223.66K","3.56%"
"11/09/2025","14.60","14.11","14.69","14.11","68.86K","2.17%"
"11/06/2025","14.29","14.10","14.44","13.97","207.42K","0.70%"
"11/05/2025","14.19","14.19","14.20","13.96","20.94K","0.00%"
"11/04/2025","14.19","14.10","14.20","13.95","58.38K","0.07%"
"11/03/2025","14.18","14.20","14.22","14.03","49.59K","0.00%"
"11/02/2025","14.18","14.24","14.34","14.03","104.56K","0.00%"
"10/30/2025","14.18","14.17","14.20","14.00","201.46K","0.28%"
"10/29/2025","14.14","13.95","14.18","13.94","23.00K","0.50%"
"10/28/2025","14.07","13.95","14.18","13.95","19.23K","0.00%"
"10/27/2025","14.07","14.00","14.17","13.94","23.99K","-0.42%"
"10/26/2025","14.13","14.11","14.14","13.88","93.16K","0.14%"
"10/23/2025","14.11","13.88","14.14","13.88","98.84K","1.15%"
"10/22/2025","13.95","13.95","14.00","13.86","24.39K","-0.50%"
"10/21/2025","14.02","13.92","14.08","13.91","28.33K","0.50%"
"10/20/2025","13.95","13.90","14.00","13.89","7.05K","0.00%"
"10/19/2025","13.95","13.88","14.00","13.88","13.54K","0.00%"
"10/16/2025","13.95","13.90","14.00","13.88","2.70K","0.00%"
"10/15/2025","13.95","13.86","14.08","13.86","17.70K","0.00%"
