Symbol,Source_URL,Bid/Ask,Prev. Close,Open,Day's Range,52 wk Range,Volume,Average Vol. (3m),1-Year Change,Fair Value,Fair Value Upside,Market Cap,Shares Outstanding,Revenue,Net Income,EPS,EPS Growth Forecast,Next Earnings Date,Dividend (Yield),Dividends PaymentStreak,RSI(14),P/E Ratio,Return on Assets,Return on Equity,Gross Profit Margin,Price/Book,EBITDA,EV/EBITDA,Beta,Book Value / Share,ISIN
ADIB,https://www.investing.com/equities/abu-dhabi-islamic-bank-egypt,31.90/31.98,32.3,32.2,31.32-32.3,18.18-32.39,1.66M,2.24M,69.78%,Unlock,Unlock,38.17B,1.2B,46.88B,11.64K,10.4427,Unlock,"Feb 25, 2026",N/A(N/A),Unlock,64.10,3.05,4.1%,44.9%,-,1.24,-,-,0.55,26.09,EGS60111C019
ABUK,https://www.investing.com/equities/abou-kir-fertilizers,52.03/52.25,53.25,53.3,51.5-53.65,45.01-61.9,2.01M,1.2M,10.66%,Unlock,Unlock,65.62B,1.26B,23.21B,9.38K,6.3249,Unlock,"Jan 21, 2026",6.00(11.27%),Unlock,65.16,8.22,21.5%,34%,47.6%,2.81,9.1B,3.39,0.12,18.93,EGS38191C010
ACTF,https://www.investing.com/equities/act-financial,2.69/2.72,2.71,2.71,2.69-2.74,2.6-3.68,5.49M,8.19M,-22.57%,Unlock,Unlock,3.1B,1.14B,764.96M,339.133449,0.3048,Unlock,-,0.18(6.62%),Unlock,41.58,9.19,9.4%,15%,100%,1.41,539.05M,-1.2,0.21,1.98,EGS7D5P1C019
ECAP,https://www.investing.com/equities/gemma,29.74/30.10,30,30.1,29.7-30.2,21.67-37,101.84K,440.38K,27.06%,Unlock,Unlock,1.59B,53.34M,2.84B,-91.688809,-1.7189,Unlock,"Feb 25, 2026",N/A(N/A),Unlock,35.53,-17.34,-2.8%,-14.1%,23.5%,2.72,344.53M,10.18,-0.08,11.04,EGS3C071C015
KRDI,https://www.investing.com/equities/al-khair-river-for-development,0.663/0.666,0.673,0.675,0.649-0.682,0.471-0.736,72.46M,85.02M,18.69%,Unlock,Unlock,1.35B,2B,412.18M,69.006445,0.041,Unlock,"Feb 25, 2026",N/A(N/A),Unlock,61.66,16.35,6.5%,18.4%,39.9%,3.34,171.24M,13.3,-0.082,0.2,EGS02291C010
ATLC,https://www.investing.com/equities/al-tawfeek-financial,4.07/4.10,4.14,4.15,4.06-4.16,3.3-5.5,993.51K,3.06M,13.74%,Unlock,Unlock,1.63B,400M,1.9B,233.989598,0.7245,Unlock,-,0.47(11.35%),Unlock,46.36,5.65,3.2%,18.3%,17.5%,1.29,-,-,0.32,3.22,EGS676N1C015
ALCN,https://www.investing.com/equities/alexandria-containers-and-goods,22.96/23.00,23.22,23.23,22.91-23.5,19.55-27.27,900.88K,1.24M,6.12%,Unlock,Unlock,68.53B,2.98B,8.26B,6.46K,1.9557,Unlock,"Feb 25, 2026",1.97(8.50%),Unlock,36.33,11.76,45.9%,43.7%,76.4%,5.49,5.9B,9.93,-0.02,4.23,EGS42111C012
AMOC,https://www.investing.com/equities/alx-mineral-oi,7.01/7.07,7.09,7.14,7.01-7.14,6.66-8.39,2.79M,3.24M,-4.83%,Unlock,Unlock,9.05B,1.29B,37.62B,1.49K,1.1524,Unlock,"Feb 25, 2026",0.80(11.28%),Unlock,65.25,6.09,-,30.2%,6.6%,-,1.54B,3.91,0.3,-,EGS380P1C010
RREI,https://www.investing.com/equities/arab-real-estate-investment-co.,3.12/3.19,3.17,3.16,3.1-3.18,1.44-3.25,9.57M,6.07M,94.48%,Unlock,Unlock,778.62M,246.4M,179.55M,58.280985,0.2227,Unlock,-,N/A(N/A),Unlock,78.04,14.19,9.5%,13.9%,34.8%,1.85,50.65M,11.9,0.36,1.72,EGS65011C016
AMER,https://www.investing.com/equities/amer-group-holding,2.22/2.24,2.22,2.23,2.19-2.31,1.07-2.54,15.72M,38.06M,86.55%,Unlock,Unlock,2B,902.79M,1.78B,161.948249,0.1534,Unlock,-,N/A(N/A),Unlock,56.44,14.47,-,7.5%,42.6%,1.08,396.98M,10.3,1.08,2.06,EGS675S1C011
ACGC,https://www.investing.com/equities/arab-cotton-gi,8.37/8.48,8.19,8.19,8.19-8.56,7.5-10.38,2.68M,1.11M,1.49%,Unlock,Unlock,2.19B,261.6M,2.63B,404.22674,1.53,Unlock,-,N/A(N/A),Unlock,48,5.46,10.3%,19.4%,18.3%,0.92,215.56M,15.54,-0.603,8.92,EGS32221C011
